order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,age_group,discount_group,delivery_group,order_year,order_month,order_dayofweek,is_weekend,returned_target,Predicted_Return,Return_Probability,Risk_Score,Risk_Category
O100010,C10466,P217648,Beauty,6.61,0.1,1,Debit Card,2024-02-07,5,South,No,5.95,2.16,0.52,40,Female,31-45,0-10%,4-5 Days,2024,2,2,0,0,0,0.4287125796538451,42.87,Medium
O100011,C15334,P212540,Beauty,16.22,0.0,1,PayPal,2024-07-08,5,South,No,16.22,3.72,3.58,21,Other,18-30,0-10%,4-5 Days,2024,7,0,0,0,0,0.35597250774855044,35.6,Medium
O100012,C14426,P245991,Grocery,10.56,0.1,1,Credit Card,2024-10-13,4,West,No,9.5,4.99,-4.23,22,Female,18-30,0-10%,4-5 Days,2024,10,6,1,0,0,0.19584743334037344,19.58,Low
O100013,C15578,P205339,Toys,7.12,0.0,1,Debit Card,2023-11-01,5,North,No,7.12,3.35,-0.5,56,Female,46-60,0-10%,4-5 Days,2023,11,2,0,0,0,0.44297522373208975,44.3,Medium
O100014,C16231,P227020,Home,39.19,0.0,2,Credit Card,2025-02-24,3,North,No,78.38,7.91,14.04,63,Male,Above 60,0-10%,1-3 Days,2025,2,0,0,0,1,0.5466381240343529,54.66,Medium
O100015,C13444,P227609,Home,12.63,0.2,4,Credit Card,2024-05-03,3,North,No,40.42,6.19,5.13,36,Male,31-45,11-20%,1-3 Days,2024,5,4,0,0,1,0.5188848918701844,51.89,Medium
O100016,C13171,P205848,Sports,96.61,0.05,1,PayPal,2024-08-25,4,West,No,91.78,3.6,23.93,47,Male,46-60,0-10%,4-5 Days,2024,8,6,1,0,0,0.41778208242481496,41.78,Medium
O100017,C12919,P216877,Fashion,16.0,0.0,3,PayPal,2024-09-12,5,South,No,48.0,4.48,12.32,37,Male,31-45,0-10%,4-5 Days,2024,9,3,0,0,1,0.5977691978620764,59.78,Medium
O100018,C17831,P218405,Electronics,734.32,0.0,2,Wallet,2025-06-20,4,South,No,1468.64,10.9,165.34,58,Female,46-60,0-10%,4-5 Days,2025,6,4,0,0,1,0.5756116073368099,57.56,Medium
O100019,C10130,P248629,Fashion,50.52,0.0,1,Credit Card,2024-10-10,3,North,Yes,50.52,6.2,11.48,56,Male,46-60,0-10%,1-3 Days,2024,10,3,0,1,1,0.6173258324846704,61.73,High
O100020,C11685,P246233,Toys,17.99,0.0,2,PayPal,2024-05-10,4,West,No,35.98,5.56,8.83,64,Female,Above 60,0-10%,4-5 Days,2024,5,4,0,0,1,0.5091353529423739,50.91,Medium
O100021,C17476,P221471,Fashion,39.54,0.0,1,COD,2024-11-14,6,North,No,39.54,5.3,8.54,49,Other,46-60,0-10%,6-7 Days,2024,11,3,0,0,1,0.5063013083943267,50.63,Medium
O100022,C10769,P203302,Electronics,128.8,0.0,1,Debit Card,2024-12-14,4,North,No,128.8,7.77,7.69,41,Female,31-45,0-10%,4-5 Days,2024,12,5,1,0,1,0.5517737625920675,55.18,Medium
O100023,C12391,P214437,Fashion,176.45,0.0,1,Debit Card,2025-05-16,7,South,No,176.45,6.67,55.09,34,Male,31-45,0-10%,6-7 Days,2025,5,4,0,0,1,0.6287071816807259,62.87,High
O100024,C15611,P247930,Sports,345.57,0.15,2,Debit Card,2024-04-16,5,Central,No,587.47,9.48,166.76,32,Female,31-45,11-20%,4-5 Days,2024,4,1,0,0,0,0.45351459087865764,45.35,Medium
O100025,C17581,P214512,Beauty,12.49,0.0,3,UPI,2024-08-31,7,East,No,37.47,5.46,11.4,49,Female,46-60,0-10%,6-7 Days,2024,8,5,1,0,0,0.3860283637996957,38.6,Medium
O100026,C16949,P232436,Sports,157.21,0.15,1,Debit Card,2025-08-26,5,South,No,133.63,6.75,33.34,20,Female,18-30,11-20%,4-5 Days,2025,8,1,0,0,0,0.47654416156772117,47.65,Medium
O100027,C12433,P223511,Fashion,11.24,0.0,2,Debit Card,2025-08-19,4,West,No,22.48,6.09,1.78,60,Female,46-60,0-10%,4-5 Days,2025,8,1,0,0,1,0.6374147626801978,63.74,High
O100028,C15311,P205022,Grocery,20.97,0.0,2,PayPal,2024-05-27,6,South,No,41.94,4.61,-1.25,61,Female,Above 60,0-10%,6-7 Days,2024,5,0,0,0,0,0.20200707970254927,20.2,Low
O100029,C15051,P243239,Home,54.42,0.0,2,UPI,2023-10-11,6,East,No,108.84,8.05,22.43,36,Female,31-45,0-10%,6-7 Days,2023,10,2,0,0,1,0.5527993707659205,55.28,Medium
O100030,C16420,P206155,Home,54.93,0.15,1,Credit Card,2023-11-12,6,South,No,46.69,5.74,7.33,44,Male,31-45,11-20%,6-7 Days,2023,11,6,1,0,0,0.48845494467897455,48.85,Medium
O100031,C11184,P231480,Grocery,10.32,0.15,1,Debit Card,2024-04-08,7,East,No,8.77,1.24,-0.54,32,Male,31-45,11-20%,6-7 Days,2024,4,0,0,0,0,0.17789863547538806,17.79,Low
O100032,C14555,P238022,Grocery,7.56,0.0,1,Credit Card,2023-12-30,5,North,No,7.56,2.06,-1.46,61,Female,Above 60,0-10%,4-5 Days,2023,12,5,1,0,0,0.1459133552909882,14.59,Low
O100033,C13385,P225332,Sports,22.33,0.05,1,Credit Card,2024-08-06,4,South,No,21.21,4.26,2.1,26,Male,18-30,0-10%,4-5 Days,2024,8,1,0,0,0,0.4663597978594621,46.64,Medium
O100034,C14117,P204354,Grocery,12.84,0.0,2,Debit Card,2024-08-08,3,North,No,25.68,6.32,-4.27,21,Female,18-30,0-10%,1-3 Days,2024,8,3,0,0,0,0.21361587532784054,21.36,Low
O100035,C16396,P231847,Beauty,8.89,0.0,2,Credit Card,2024-04-04,4,South,No,17.78,4.78,3.22,19,Female,18-30,0-10%,4-5 Days,2024,4,3,0,0,0,0.42624951769475716,42.62,Medium
O100036,C14843,P235284,Fashion,33.9,0.0,2,Debit Card,2025-05-27,5,South,No,67.8,4.98,18.75,28,Female,18-30,0-10%,4-5 Days,2025,5,1,0,0,1,0.5990434718416291,59.9,Medium
O100037,C12904,P248640,Fashion,17.92,0.0,1,Credit Card,2024-07-10,5,West,No,17.92,5.86,0.41,28,Male,18-30,0-10%,4-5 Days,2024,7,2,0,0,1,0.618929988946083,61.89,High
O100038,C17728,P210156,Beauty,50.75,0.0,2,Credit Card,2025-02-13,7,West,No,101.5,6.46,39.22,46,Female,46-60,0-10%,6-7 Days,2025,2,3,0,0,0,0.41960805939361406,41.96,Medium
O100039,C10474,P222453,Beauty,13.11,0.15,1,Credit Card,2024-08-17,6,West,No,11.14,4.4,0.61,51,Female,46-60,11-20%,6-7 Days,2024,8,5,1,0,0,0.38621920630271567,38.62,Medium
O100040,C11082,P232689,Home,297.65,0.1,1,UPI,2023-12-09,4,South,No,267.88,7.49,67.52,20,Female,18-30,0-10%,4-5 Days,2023,12,5,1,0,0,0.4999560750968589,50.0,Medium
O100041,C12558,P223758,Grocery,6.2,0.0,1,COD,2024-03-31,4,West,No,6.2,2.5,-2.0,35,Male,31-45,0-10%,4-5 Days,2024,3,6,1,0,0,0.15477078033935926,15.48,Low
O100042,C17849,P208838,Home,36.05,0.0,2,COD,2025-02-03,4,North,No,72.1,7.24,12.95,36,Female,31-45,0-10%,4-5 Days,2025,2,0,0,0,0,0.49413393608922657,49.41,Medium
O100043,C12047,P245502,Fashion,47.26,0.15,1,UPI,2023-10-31,5,South,No,40.17,4.94,9.12,48,Male,46-60,11-20%,4-5 Days,2023,10,1,0,0,1,0.5907087634545972,59.07,Medium
O100044,C17643,P243790,Electronics,313.25,0.0,1,Debit Card,2024-09-27,8,Central,No,313.25,8.96,28.63,53,Male,46-60,0-10%,8-10 Days,2024,9,4,0,0,1,0.5970882946286836,59.71,Medium
O100045,C12747,P237976,Grocery,13.7,0.1,3,COD,2025-04-11,4,West,No,36.99,4.09,-1.13,62,Male,Above 60,0-10%,4-5 Days,2025,4,4,0,0,0,0.1970904601656655,19.71,Low
O100046,C10975,P249346,Toys,9.07,0.0,3,Debit Card,2024-01-11,5,South,No,27.21,6.05,4.83,30,Female,18-30,0-10%,4-5 Days,2024,1,3,0,0,0,0.49547550744644725,49.55,Medium
O100047,C11806,P213725,Beauty,12.45,0.0,2,Credit Card,2025-05-03,5,West,No,24.9,5.18,6.02,58,Male,46-60,0-10%,4-5 Days,2025,5,5,1,0,0,0.3957888093220463,39.58,Medium
O100048,C10189,P209337,Toys,7.33,0.0,1,Credit Card,2025-03-19,5,North,No,7.33,3.86,-0.93,55,Female,46-60,0-10%,4-5 Days,2025,3,2,0,0,0,0.43770684315230607,43.77,Medium
O100049,C17101,P210701,Toys,53.85,0.05,1,Credit Card,2025-03-12,5,South,No,51.16,5.96,14.5,35,Female,31-45,0-10%,4-5 Days,2025,3,2,0,0,1,0.5112376291430154,51.12,Medium
O100050,C12734,P229811,Grocery,16.12,0.0,1,COD,2025-07-14,8,East,No,16.12,4.76,-3.47,66,Female,Above 60,0-10%,8-10 Days,2025,7,0,0,0,0,0.206384312398373,20.64,Low
O100051,C13005,P243043,Home,195.87,0.0,4,Credit Card,2024-12-31,5,West,No,783.48,10.37,209.0,43,Female,31-45,0-10%,4-5 Days,2024,12,1,0,0,0,0.48952956279381243,48.95,Medium
O100052,C14658,P238978,Beauty,8.29,0.0,1,PayPal,2024-09-16,4,North,No,8.29,2.98,0.75,67,Male,Above 60,0-10%,4-5 Days,2024,9,0,0,0,0,0.40844243701397404,40.84,Medium
O100053,C11899,P229316,Electronics,402.13,0.0,2,PayPal,2024-01-24,5,South,No,804.26,9.93,86.58,40,Female,31-45,0-10%,4-5 Days,2024,1,2,0,0,1,0.5885939108230945,58.86,Medium
O100054,C17734,P211544,Grocery,19.94,0.05,1,Debit Card,2023-12-29,6,East,No,18.94,4.96,-3.44,55,Female,46-60,0-10%,6-7 Days,2023,12,4,0,0,0,0.22221436401005634,22.22,Low
O100055,C11267,P221514,Grocery,6.52,0.0,2,Debit Card,2023-11-23,5,South,No,13.04,4.73,-3.69,60,Male,46-60,0-10%,4-5 Days,2023,11,3,0,0,0,0.20123271793409614,20.12,Low
O100056,C16975,P216327,Toys,5.38,0.1,1,COD,2023-12-18,3,Central,No,4.84,3.91,-1.97,57,Female,46-60,0-10%,1-3 Days,2023,12,0,0,0,0,0.4495568451976313,44.96,Medium
O100057,C11528,P246809,Home,167.21,0.0,4,Wallet,2023-12-06,3,North,No,668.84,8.88,178.4,37,Female,31-45,0-10%,1-3 Days,2023,12,2,0,0,0,0.4710354839802055,47.1,Medium
O100058,C13202,P216705,Home,134.37,0.15,1,Wallet,2024-10-30,3,Central,No,114.21,6.65,25.33,53,Male,46-60,11-20%,1-3 Days,2024,10,2,0,0,1,0.5021135120852432,50.21,Medium
O100059,C13556,P210479,Home,122.85,0.0,3,COD,2024-08-16,4,North,No,368.55,7.27,95.92,69,Female,Above 60,0-10%,4-5 Days,2024,8,4,0,0,0,0.4563171618107043,45.63,Medium
O100060,C13890,P211323,Fashion,14.91,0.0,1,UPI,2024-12-01,5,West,No,14.91,4.93,0.29,69,Male,Above 60,0-10%,4-5 Days,2024,12,6,1,0,1,0.5844563834641788,58.45,Medium
O100061,C10646,P212937,Beauty,10.46,0.0,1,Credit Card,2023-11-13,4,North,No,10.46,3.14,1.57,25,Other,18-30,0-10%,4-5 Days,2023,11,0,0,0,0,0.3399326928236099,33.99,Medium
O100062,C16164,P223089,Electronics,368.67,0.0,1,Debit Card,2024-06-26,6,West,No,368.67,9.91,34.33,36,Male,31-45,0-10%,6-7 Days,2024,6,2,0,0,1,0.63228519798474,63.23,High
O100063,C12888,P201702,Grocery,13.52,0.1,1,Debit Card,2025-06-24,5,West,No,12.17,2.07,-1.1,22,Female,18-30,0-10%,4-5 Days,2025,6,1,0,0,0,0.1866224814296725,18.66,Low
O100064,C16310,P210404,Home,116.53,0.05,1,Credit Card,2024-01-22,4,West,No,110.7,6.97,24.03,59,Male,46-60,0-10%,4-5 Days,2024,1,0,0,0,1,0.5431053583484248,54.31,Medium
O100065,C15393,P233598,Grocery,20.24,0.0,1,COD,2025-06-23,5,North,No,20.24,4.74,-3.12,65,Male,Above 60,0-10%,4-5 Days,2025,6,0,0,0,0,0.1758566502349066,17.59,Low
O100066,C12435,P208380,Sports,175.75,0.15,1,Debit Card,2025-09-03,5,West,No,149.39,6.15,38.67,58,Female,46-60,11-20%,4-5 Days,2025,9,2,0,0,0,0.46784419983879577,46.78,Medium
O100067,C10600,P221990,Fashion,20.91,0.0,1,UPI,2024-02-14,4,North,Yes,20.91,4.04,3.28,50,Male,46-60,0-10%,4-5 Days,2024,2,2,0,1,1,0.5747130972793996,57.47,Medium
O100068,C12363,P232859,Fashion,13.43,0.0,4,PayPal,2023-12-15,4,South,No,53.72,6.26,12.54,30,Male,18-30,0-10%,4-5 Days,2023,12,4,0,0,1,0.6187422792254021,61.87,High
O100069,C12061,P203877,Grocery,3.96,0.2,1,PayPal,2023-11-22,5,East,No,3.17,3.06,-2.81,44,Female,31-45,11-20%,4-5 Days,2023,11,2,0,0,0,0.19798977958528188,19.8,Low
O100070,C10241,P242871,Toys,8.5,0.0,2,Debit Card,2024-05-30,8,South,No,17.0,3.51,3.29,25,Female,18-30,0-10%,8-10 Days,2024,5,3,0,0,0,0.4801881099838818,48.02,Medium
O100071,C12041,P218720,Fashion,150.12,0.0,3,Debit Card,2024-10-18,4,West,No,450.36,8.26,149.37,28,Female,18-30,0-10%,4-5 Days,2024,10,4,0,0,1,0.6035246017196181,60.35,High
O100072,C12824,P207676,Electronics,97.95,0.1,1,Debit Card,2024-09-21,6,East,No,88.16,6.72,3.86,53,Male,46-60,0-10%,6-7 Days,2024,9,5,1,0,1,0.5716281550596103,57.16,Medium
O100073,C17513,P231818,Sports,217.48,0.0,1,Credit Card,2025-02-24,6,South,No,217.48,7.67,57.57,24,Male,18-30,0-10%,6-7 Days,2025,2,0,0,0,0,0.48258338098809317,48.26,Medium
O100074,C12612,P234348,Fashion,16.18,0.0,2,Credit Card,2024-12-06,4,South,No,32.36,4.73,6.6,69,Male,Above 60,0-10%,4-5 Days,2024,12,4,0,0,1,0.6204781065620734,62.05,High
O100075,C17041,P248555,Fashion,26.06,0.05,3,COD,2023-12-21,5,West,No,74.27,6.24,19.75,46,Other,46-60,0-10%,4-5 Days,2023,12,3,0,0,1,0.5340526444035756,53.41,Medium
O100076,C11363,P242368,Sports,23.23,0.3,2,Credit Card,2025-02-13,4,Central,No,32.52,5.1,4.66,31,Male,31-45,21-30%,4-5 Days,2025,2,3,0,0,0,0.3612638639810181,36.13,Medium
O100077,C16235,P248180,Sports,20.73,0.0,2,COD,2024-05-14,5,West,No,41.46,4.31,8.13,20,Female,18-30,0-10%,4-5 Days,2024,5,1,0,0,0,0.404595793969626,40.46,Medium
O100078,C15486,P224130,Home,23.16,0.0,1,UPI,2023-12-20,3,Central,No,23.16,4.81,1.67,45,Male,31-45,0-10%,1-3 Days,2023,12,2,0,0,0,0.4991305788912433,49.91,Medium
O100079,C17099,P233241,Grocery,6.53,0.0,4,Credit Card,2024-06-28,3,North,No,26.12,6.21,-4.12,68,Male,Above 60,0-10%,1-3 Days,2024,6,4,0,0,0,0.21250708964604936,21.25,Low
O100080,C11478,P244392,Sports,82.93,0.05,1,Wallet,2024-03-13,4,West,No,78.78,8.3,15.33,59,Female,46-60,0-10%,4-5 Days,2024,3,2,0,0,1,0.5211873014062883,52.12,Medium
O100081,C17595,P249421,Grocery,3.95,0.0,1,Wallet,2025-01-23,4,West,No,3.95,2.63,-2.31,38,Female,31-45,0-10%,4-5 Days,2025,1,3,0,0,0,0.1858194058621111,18.58,Low
O100082,C12556,P226620,Fashion,137.66,0.0,1,UPI,2025-04-20,4,South,No,137.66,7.01,41.17,50,Female,46-60,0-10%,4-5 Days,2025,4,6,1,0,1,0.5891561412784615,58.92,Medium
O100083,C10775,P217077,Fashion,48.41,0.1,4,Credit Card,2023-09-23,6,West,No,174.28,8.27,52.73,29,Female,18-30,0-10%,6-7 Days,2023,9,5,1,0,1,0.6097945336084067,60.98,High
O100084,C14014,P212663,Electronics,753.1,0.05,1,Debit Card,2024-06-08,4,South,No,715.44,10.44,75.41,28,Male,18-30,0-10%,4-5 Days,2024,6,5,1,0,1,0.6042478849266834,60.42,High
O100085,C10034,P217799,Fashion,12.92,0.0,3,Wallet,2025-08-04,4,South,No,38.76,6.83,6.74,20,Female,18-30,0-10%,4-5 Days,2025,8,0,0,0,1,0.6227336126301211,62.27,High
O100086,C16349,P247285,Grocery,3.04,0.0,1,Debit Card,2024-06-12,4,South,No,3.04,1.93,-1.69,59,Female,46-60,0-10%,4-5 Days,2024,6,2,0,0,0,0.17927345375839612,17.93,Low
O100087,C13152,P217619,Grocery,25.7,0.1,4,Credit Card,2024-06-18,3,North,No,92.52,9.09,-1.69,32,Male,31-45,0-10%,1-3 Days,2024,6,1,0,0,0,0.2606883078480352,26.07,Low
O100088,C11955,P203967,Toys,18.51,0.05,1,PayPal,2023-12-20,5,South,No,17.58,3.71,3.32,62,Female,Above 60,0-10%,4-5 Days,2023,12,2,0,0,0,0.48226165933001863,48.23,Medium
O100089,C11585,P227488,Beauty,71.36,0.15,1,Debit Card,2024-07-05,7,South,No,60.66,5.34,21.96,34,Male,31-45,11-20%,6-7 Days,2024,7,4,0,0,0,0.4440373994000162,44.4,Medium
O100090,C13943,P213211,Toys,5.12,0.0,1,UPI,2025-02-09,6,West,No,5.12,1.8,0.25,59,Female,46-60,0-10%,6-7 Days,2025,2,6,1,0,0,0.3943587117484657,39.44,Medium
O100091,C17555,P221169,Beauty,3.65,0.0,1,UPI,2024-07-08,4,South,No,3.65,1.97,-0.33,54,Female,46-60,0-10%,4-5 Days,2024,7,0,0,0,0,0.3841252270853574,38.41,Medium
O100092,C13073,P230373,Electronics,857.18,0.0,3,COD,2024-08-10,4,West,No,2571.54,12.41,296.17,61,Female,Above 60,0-10%,4-5 Days,2024,8,5,1,0,1,0.5126706569650468,51.27,Medium
O100093,C11021,P232669,Home,168.01,0.05,2,Debit Card,2024-01-20,6,East,No,319.22,7.51,81.87,57,Male,46-60,0-10%,6-7 Days,2024,1,5,1,0,1,0.506464972090719,50.65,Medium
O100094,C13461,P206634,Beauty,43.33,0.0,3,Debit Card,2025-07-02,4,Central,No,129.99,6.28,52.22,53,Female,46-60,0-10%,4-5 Days,2025,7,2,0,0,0,0.41663305545468815,41.66,Medium
O100095,C12613,P200840,Fashion,22.26,0.0,1,Wallet,2025-02-22,7,East,No,22.26,3.96,3.83,27,Male,18-30,0-10%,6-7 Days,2025,2,5,1,0,1,0.5550617762454279,55.51,Medium
O100096,C15225,P234229,Fashion,5.15,0.05,1,Credit Card,2023-09-12,5,East,No,4.89,3.77,-2.06,36,Male,31-45,0-10%,4-5 Days,2023,9,1,0,0,1,0.6221352317904807,62.21,High
O100097,C13843,P221318,Fashion,37.42,0.1,5,COD,2024-09-26,3,Central,No,168.39,8.25,50.69,29,Male,18-30,0-10%,1-3 Days,2024,9,3,0,0,1,0.6059886851751486,60.6,High
O100098,C17989,P215405,Beauty,115.85,0.15,1,Debit Card,2025-05-02,5,West,No,98.47,6.58,37.73,40,Female,31-45,11-20%,4-5 Days,2025,5,4,0,0,0,0.4618757276526262,46.19,Medium
O100099,C11500,P247771,Electronics,823.81,0.0,1,COD,2025-05-08,4,South,No,823.81,8.88,89.98,32,Female,31-45,0-10%,4-5 Days,2025,5,3,0,0,1,0.564798536254551,56.48,Medium
O100100,C14798,P236240,Sports,17.35,0.1,1,Debit Card,2025-02-25,5,West,Yes,15.62,4.69,-0.0,41,Male,31-45,0-10%,4-5 Days,2025,2,1,0,1,1,0.5041921413131203,50.42,Medium
O100101,C16545,P215847,Home,37.39,0.2,1,Credit Card,2025-02-04,5,North,No,29.91,3.68,4.69,49,Male,46-60,11-20%,4-5 Days,2025,2,1,0,0,0,0.4574249150584854,45.74,Medium
O100102,C16873,P223547,Fashion,23.33,0.0,5,Credit Card,2025-05-02,5,Central,No,116.65,7.12,33.71,38,Male,31-45,0-10%,4-5 Days,2025,5,4,0,0,1,0.5986005363128842,59.86,Medium
O100103,C15675,P206575,Toys,36.89,0.15,1,Credit Card,2024-11-29,6,East,No,31.36,3.99,8.55,47,Female,46-60,11-20%,6-7 Days,2024,11,4,0,0,0,0.4693187072978159,46.93,Medium
O100104,C10161,P230123,Home,239.28,0.2,1,Credit Card,2024-11-14,4,South,No,191.42,8.6,45.0,69,Male,Above 60,11-20%,4-5 Days,2024,11,3,0,0,1,0.5738502776903226,57.39,Medium
O100105,C14297,P204843,Home,36.94,0.0,1,COD,2023-10-23,7,South,No,36.94,5.01,5.33,49,Male,46-60,0-10%,6-7 Days,2023,10,0,0,0,0,0.4556525982526351,45.57,Medium
O100106,C11981,P227451,Toys,16.98,0.0,2,Credit Card,2024-11-21,4,North,No,33.96,4.16,9.42,19,Male,18-30,0-10%,4-5 Days,2024,11,3,0,0,0,0.45001947610349463,45.0,Medium
O100107,C10995,P207739,Home,101.74,0.0,2,Wallet,2024-06-08,6,East,No,203.48,7.89,49.08,54,Female,46-60,0-10%,6-7 Days,2024,6,5,1,0,0,0.4919882574837238,49.2,Medium
O100108,C16413,P214852,Toys,12.52,0.2,1,Credit Card,2024-07-11,3,North,No,10.02,2.22,1.79,51,Male,46-60,11-20%,1-3 Days,2024,7,3,0,0,0,0.4410007285173169,44.1,Medium
O100109,C14911,P249092,Home,111.08,0.0,1,Debit Card,2024-08-06,5,North,No,111.08,7.66,23.44,39,Male,31-45,0-10%,4-5 Days,2024,8,1,0,0,1,0.5381918523936027,53.82,Medium
O100110,C13342,P209157,Fashion,22.03,0.05,3,COD,2023-12-23,8,East,No,62.79,5.86,16.12,50,Female,46-60,0-10%,8-10 Days,2023,12,5,1,0,1,0.5796658224243163,57.97,Medium
O100111,C14551,P222406,Beauty,21.58,0.05,3,UPI,2023-12-04,3,North,No,61.5,5.64,22.04,60,Male,46-60,0-10%,1-3 Days,2023,12,0,0,0,0,0.4266771357986015,42.67,Medium
O100112,C17629,P247284,Fashion,61.89,0.05,1,COD,2025-01-21,4,South,No,58.8,7.65,12.93,28,Male,18-30,0-10%,4-5 Days,2025,1,1,0,0,1,0.6349894111405615,63.5,High
O100113,C13798,P245200,Electronics,70.98,0.0,2,UPI,2025-08-08,4,West,No,141.96,6.85,10.19,46,Female,46-60,0-10%,4-5 Days,2025,8,4,0,0,1,0.5495002689479568,54.95,Medium
O100114,C11275,P207432,Electronics,1161.68,0.0,1,Credit Card,2024-10-29,4,South,No,1161.68,7.91,131.49,69,Female,Above 60,0-10%,4-5 Days,2024,10,1,0,0,1,0.572221976758318,57.22,Medium
O100115,C11016,P218837,Fashion,13.88,0.0,1,Debit Card,2025-05-07,4,South,No,13.88,5.31,-0.45,63,Male,Above 60,0-10%,4-5 Days,2025,5,2,0,0,1,0.6487188614248273,64.87,High
O100116,C17869,P215148,Sports,53.93,0.0,1,Debit Card,2025-06-03,5,North,No,53.93,5.21,10.97,57,Female,46-60,0-10%,4-5 Days,2025,6,1,0,0,0,0.44420288216772624,44.42,Medium
O100117,C16439,P211194,Toys,14.51,0.0,1,Credit Card,2025-08-04,5,East,No,14.51,4.15,1.65,48,Male,46-60,0-10%,4-5 Days,2025,8,0,0,0,0,0.4784990478991923,47.85,Medium
O100118,C17892,P232591,Toys,2.82,0.2,3,Credit Card,2025-05-06,5,West,No,6.77,3.43,-0.72,24,Other,18-30,11-20%,4-5 Days,2025,5,1,0,0,0,0.4002877655300201,40.03,Medium
O100119,C16863,P214819,Fashion,44.08,0.05,4,Wallet,2023-11-12,8,Central,No,167.5,7.43,51.19,36,Female,31-45,0-10%,8-10 Days,2023,11,6,1,0,1,0.5907604845128879,59.08,Medium
O100120,C17916,P206625,Sports,210.6,0.1,1,Credit Card,2023-09-15,4,South,No,189.54,9.21,47.65,66,Female,Above 60,0-10%,4-5 Days,2023,9,4,0,0,1,0.5527868625955824,55.28,Medium
O100121,C10337,P207404,Fashion,118.71,0.0,1,COD,2025-02-04,3,North,No,118.71,6.57,34.98,61,Female,Above 60,0-10%,1-3 Days,2025,2,1,0,0,1,0.5966846388439784,59.67,Medium
O100122,C10878,P214674,Beauty,12.67,0.0,2,PayPal,2025-01-20,6,South,No,25.34,3.95,7.45,42,Male,31-45,0-10%,6-7 Days,2025,1,0,0,0,0,0.42773815855273495,42.77,Medium
O100123,C11076,P210507,Grocery,11.77,0.2,1,COD,2025-04-06,7,East,No,9.42,1.0,-0.25,48,Female,46-60,11-20%,6-7 Days,2025,4,6,1,0,0,0.13132576407963942,13.13,Low
O100124,C14887,P220387,Electronics,537.39,0.15,1,PayPal,2024-02-16,4,Central,Yes,456.78,9.4,45.41,28,Female,18-30,11-20%,4-5 Days,2024,2,4,0,1,1,0.5741449239147279,57.41,Medium
O100125,C13993,P218697,Grocery,4.84,0.0,1,COD,2023-11-18,6,South,No,4.84,1.46,-1.07,33,Female,31-45,0-10%,6-7 Days,2023,11,5,1,0,0,0.13857257068752551,13.86,Low
O100126,C16360,P237391,Toys,16.78,0.0,2,Credit Card,2024-10-02,4,South,Yes,33.56,5.18,8.24,34,Female,31-45,0-10%,4-5 Days,2024,10,2,0,1,0,0.4975772962353734,49.76,Medium
